Name,Subscription,ResourceGroupName,Location,ResizeGroup,OsType,Role,Size,TargetSize,LicenseType,NicCount,NicCountCap,AvailabilitySet,FaultDomain,UpdateDomain,AvailVMSizesD,AvailVMSizesDv2,AvailVMSizesF,AvailVMSizesDv3,NoResize,NonStandardVM,Notes
tx-preprod,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,N/A,Windows,,Standard_A2_v2,N/A,Windows_Server,1,4,,,,,,,,$True,,Deleting
VAAZTIAMAPP300,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,1,Windows,Compute,Standard_A4_v2,F4,Windows_Server,1,4,ACSPREPROD2_AS_APP300_VALOGON,1,1,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZTIAMAPP301,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,2,Windows,Compute,Standard_A4_v2,F4,Windows_Server,1,4,ACSPREPROD2_AS_APP300_VALOGON,0,0,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZTIAMAPP304,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,1,Windows,Compute,Standard_A4_v2,F4,Windows_Server,1,4,ACSPREPROD2_AS_APP300_ESIG,1,1,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZTIAMAPP305,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,2,Windows,Compute,Standard_A4_v2,F4,Windows_Server,1,4,ACSPREPROD2_AS_APP300_ESIG,0,0,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZTIAMAPP306,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,1,Windows,Compute,Standard_A8_v2,F8,Windows_Server,1,4,ACSPREPROD2_AS_APP300_AMS-VDT,1,1,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZTIAMAPP307,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,2,Windows,Compute,Standard_A8_v2,F8,Windows_Server,1,4,ACSPREPROD2_AS_APP300_AMS-VDT,0,0,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZTIAMAPP310,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,3,Linux,Compute,Standard_A2_v2,F2,,1,4,ACSPREPROD2_AS_APP300_SSO,0,0,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZTIAMASM300,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,1,Windows,General,Standard_A4_v2,D4s_v3,Windows_Server,1,4,,,,,,,,,,
VAAZTIAMFPS350,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,3,Linux,Compute,Standard_A4_v2,F4,,3,4,VAAFIPREPROD2_AS_SAM350,0,3,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
